Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,a
FEBRUARY-2025,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,11296,0,0,393,0,0,257,0,0,7,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3281,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1248,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2515,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1361,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5062,0,0,2228,0,0,29,0,0,3,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,156,0,0,1986,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,106,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,52,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,430,0,0,3022,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,64,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,866,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6118,0,1243,787,0,19,1866,0,0,171,0,0,312,1,2342,0,0,1039,,,,,,
FEBRUARY-2025,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1349,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7528,0,4659,545,0,146,2948,0,256,211,0,0,735,0,2153,0,0,426,,,,,,
FEBRUARY-2025,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12433,2272,13441,0,0,0,6017,366,143,0,0,0,615,816,7312,0,0,437,,,,,,
FEBRUARY-2025,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,13225,0,3915,306,0,461,5764,0,159,85,0,13,389,792,3302,0,37,1499,,,,,,
FEBRUARY-2025,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,10851,0,3918,1168,0,51,4790,0,16,477,0,1,1386,79,3104,0,0,1787,,,,,,
FEBRUARY-2025,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,8215,0,0,0,0,0,2725,0,0,0,0,0,215,324,1055,0,0,39,,,,,,
FEBRUARY-2025,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,11286,0,7671,78,0,743,3416,0,144,15,0,2,733,567,5182,0,0,930,,,,,,
FEBRUARY-2025,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,8415,0,4049,0,0,664,2555,0,239,0,0,0,1928,28,3464,0,0,2258,,,,,,
FEBRUARY-2025,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,17620,0,5691,611,0,0,6091,0,103,0,0,0,1226,43,2563,0,0,353,,,,,,
FEBRUARY-2025,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,31058,282,1534,0,0,267,12580,0,5,0,0,2,2371,1657,9332,0,0,6424,,,,,,
FEBRUARY-2025,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9225,0,0,0,0,0,3070,0,0,0,0,0,464,289,2499,0,0,584,,,,,,
FEBRUARY-2025,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,6667,0,7880,0,0,1678,3433,0,503,0,0,56,292,11,2411,0,115,2151,,,,,,
FEBRUARY-2025,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19778,1807,0,0,0,0,8352,112,0,0,0,0,1303,921,5806,2,0,3425,,,,,,
FEBRUARY-2025,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,6843,0,985,305,0,50,2353,0,47,94,0,5,724,240,2525,0,61,822,,,,,,
FEBRUARY-2025,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,11973,0,9497,0,0,0,4297,0,648,0,0,0,421,1050,3543,0,93,1588,,,,,,
FEBRUARY-2025,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,3965,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2059,0,0,264,0,0,9,0,0,0,0,0,0,0,0,0,,,,,,
FEBRUARY-2025,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,11840,0,4341,0,0,0,4892,0,0,0,0,0,960,275,3751,1,0,2204,,,,,,
FEBRUARY-2025,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12788,0,13626,0,0,0,6764,0,131,0,0,0,699,547,5893,0,0,339,,,,,,
FEBRUARY-2025,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,26897,0,3559,23,0,7,9735,0,229,4,0,0,2597,275,7902,0,174,1290,,,,,,
FEBRUARY-2025,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,23137,451,14486,222,5,224,9238,7,909,114,0,31,1105,1691,4254,0,51,687,,,,,,
FEBRUARY-2025,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5687,0,5922,0,0,0,3208,0,90,0,0,0,624,94,1715,0,0,51,,,,,,
FEBRUARY-2025,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,15299,0,6647,427,0,0,5562,0,133,52,0,0,499,400,7357,0,0,549,,,,,,
FEBRUARY-2025,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6236,0,2554,0,0,117,3576,0,44,0,0,22,537,475,1995,0,0,1161,,,,,,
FEBRUARY-2025,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,14688,0,8042,0,0,957,6486,0,0,0,0,0,80,8,4304,0,0,2198,,,,,,
FEBRUARY-2025,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,3892,0,451,272,0,30,355,0,0,20,0,0,7,0,984,0,0,80,,,,,,
FEBRUARY-2025,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1408,0,0,122,0,0,178,0,0,0,0,0,0,0,97,0,17,,,,,,
FEBRUARY-2025,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,12884,0,10368,0,0,0,6709,0,1259,0,0,0,1081,750,4406,0,0,1159,,,,,,
FEBRUARY-2025,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7205,0,337,1,0,0,2448,0,0,0,0,0,383,36,2053,0,0,788,,,,,,
